"short id","full name","party","state","state","distinct","canonical URL","url1","url2"
"hart","Hart, Melissa","R"," Pennsylvania","PA",4,"http://house.gov/hart/","gov.house.hart",
"hastert","Hastert, J. Dennis","R"," Illinois","IL",14,"http://house.gov/hastert/","gov.house.www/hastert",
"alceehastings","Hastings, Alcee","D"," Florida","FL",23,"http://house.gov/alceehastings/",,
"hastings","Hastings, Doc","R"," Washington","WA",4,"http://house.gov/hastings/","gov.house.www/hastings",
"hayes","Hayes, Robin","R"," North Carolina","NC",8,"http://www.hayes.house.gov/","gov.house.hayes",
"hayworth","Hayworth, J.D.","R"," Arizona","AZ",5,"http://www.house.gov/hayworth/","gov.house.www/hayworth",
"hefley","Hefley, Joel","R"," Colorado","CO",5,"http://house.gov/hefley/","gov.house.www/hefley",
"hensarling","Hensarling, Jeb","R"," Texas","TX",5,"http://www.house.gov/hensarling/","gov.house.www/hensarling",
"herger","Herger, Wally","R"," California","CA",2,"http://house.gov/herger/","gov.house.www/herger",
"baronhill","Hill, Baron","D"," Indiana","IN",9,"http://house.gov/baronhill/","gov.house.baronhill","gov.house.www/baronhill"
"hinchey","Hinchey, Maurice","D"," New York","NY",22,"http://house.gov/hinchey/","gov.house.www/hinchey",
"hobson","Hobson, Dave","R"," Ohio","OH",7,"http://house.gov/hobson/","gov.house.www/hobson",
"hoeffel","Hoeffel, Joe","D"," Pennsylvania","PA",13,"http://house.gov/hoeffel/","gov.house.hoeffel","gov.house.www/hoeffel"
"hoekstra","Hoekstra, Pete","R"," Michigan","MI",2,"http://house.gov/hoekstra/","gov.house.www/hoekstra",
"holden","Holden, Tim","D"," Pennsylvania","PA",17,"http://house.gov/holden/","gov.house.holden","gov.house.www/holden"
"rholt","Holt, Rush D., Jr.","D"," New Jersey","NJ",12,"http://house.gov/rholt/","gov.house.www/rholt",
"honda","Honda, Mike","D"," California","CA",15,"http://house.gov/honda/","gov.house.www/honda",
"hooley","Hooley, Darlene","D"," Oregon","OR",5,"http://house.gov/hooley/","gov.house.www/hooley",
"hostettler","Hostettler, John","R"," Indiana","IN",8,"http://house.gov/hostettler/","gov.house.www/hostettler",
"houghton","Houghton, Amo","R"," New York","NY",29,"http://houghton.house.gov/","gov.house.houghton","gov.house.www/houghton"
"hoyer","Hoyer, Steny","D"," Maryland","MD",5,"http://hoyer.house.gov/","gov.house.hoyer",
"hulshof","Hulshof, Kenny","R"," Missouri","MO",9,"http://house.gov/hulshof/","gov.house.www/hulshof",
"hunter","Hunter, Duncan","R"," California","CA",52,"http://house.gov/hunter/","gov.house.www/hunter",
"hyde","Hyde, Henry J.","R"," Illinois","IL",6,"http://house.gov/hyde/","gov.house.www/hyde",
"inslee","Inslee, Jay","D"," Washington","WA",1,"http://house.gov/inslee/",,
"isakson","Isakson, Johnny","R"," Georgia","GA",6,"http://isakson.house.gov/","gov.house.isakson",
"israel","Israel, Steve","D"," New York","NY",2,"http://house.gov/israel/","gov.house.www/israel",
"issa","Issa, Darrell","R"," California","CA",49,"http://www.house.gov/issa/","gov.house.issa",
"istook","Istook, Ernest J.","R"," Oklahoma","OK",5,"http://house.gov/istook/","gov.house.www/istook",
"jacksonlee","Jackson Lee, Sheila","D"," Texas","TX",18,"http://house.gov/jacksonlee/",,
"janklow","Janklow, William J.","R"," Louisiana","SD",,"http://www.house.gov/janklow/","gov.house.www/janklow",
"jefferson","Jefferson, William","D"," South Dakota","LA",2,"http://house.gov/jefferson/","gov.house.www/jefferson",
